,右-Fx,右-Fy,右-Fz,右-Mx,右-My,右-Mz,右-Mx',右-My',右-COPx,右-COPy,左-Fx,左-Fy,左-Fz,左-Mx,左-My,左-Mz,左-Mx',左-My',左-COPx,左-COPy,合成-Fx,合成-Fy,合成-Fz,合成-Mx,合成-My,合成-Mz,合成-COPx,合成-COPy,右-速度計,左-速度計,右-速度,左-速度,右-実速度,左-実速度,引張力,負荷制御,右-Fy電圧,左-Fy電圧,右-Fz電圧,左-Fz電圧
0.014,-19.280058026539,9.54229247492835,330.959176911735,-4.66666666666667,-24.4,3.95,-5.8346432655979,-26.7598791024484,80.8555283227124,-17.6294953354744,20.3494029673437,-4.59791670963528,388.581436980215,-14,8.15,0.35,-13.4372149947406,10.6407669232029,-27.3836213224582,-34.5801773218127,1.06934494080467,4.94437576529306,719.54061389195,-19.2718582603385,-27.8740532332154,1.41539732634902,38.7386795061455,-26.7835586876719,0.0201416015625,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.615234375,0,0.00640869140625,0.0054931640625,0.0396728515625,0.0006103515625
0.015,-19.270339604794,9.53806179094856,330.867848755647,-4.5,-24.45,4.15,-5.6674587632121,-26.8086895676268,81.0253690966074,-17.1290706683249,20.3379075986931,-4.61999073490898,388.488404383833,-14,8.25,0.45,-13.4345131340471,10.73935989008,-27.6439650936643,-34.5815035466892,1.06756799389909,4.91807105603958,719.35625313948,-19.1019718972592,-27.8239230256967,1.71175728472506,38.6789200820386,-26.5542584969446,0.018310546875,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.00640869140625,0.0067138671875,0.03936767578125,0.0006103515625
0.016,-19.2607989690059,9.53161279607805,330.77342936434,-5,-24.55,4.55,-6.16666940623995,-26.9075217938063,81.347289126323,-18.6431824892667,20.3246156129504,-4.64516737908093,388.394175322666,-13.5,8.2,0.55,-12.9314315128005,10.6877329510251,-27.5177477678342,-33.2946072171588,1.06381664394448,4.88644541699712,719.167604687006,-19.0981009190404,-27.9744210182798,2.20793684426757,38.8983330672337,-26.5558414958809,0.02197265625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.55419921875,0,0.006103515625,0.00518798828125,0.0390625,0
0.017,-19.2511966277285,9.52276826869263,330.676981909726,-5.66666666666667,-24.8,4.7,-6.83225350275464,-27.156346467234,82.1234859178908,-20.6614124251922,20.3094729095615,-4.67281329208881,388.298647663978,-13.3333333333333,8.25,0.4,-12.7613809863817,10.7358794841303,-27.6485111362552,-32.8648607538417,1.05827628183293,4.84995497660382,718.975629573704,-19.5936344891363,-28.1752867969712,2.20410136160059,39.1880971176685,-27.2521538744697,0.0201416015625,0.0164794921875,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.79833984375,0,0.006103515625,0.00640869140625,0.0390625,0
0.018,-19.2412567548269,9.51149526481398,330.579555582563,-5.66666666666667,-24.7,4.7,-6.8308736870799,-27.0551298267908,81.841509463926,-20.66332769745,20.2925313406064,-4.70243612455475,388.201983304214,-13.8333333333333,8.45,0.3,-13.2577551516878,10.9338058360902,-28.1652498089428,-34.1516935046115,1.05127458577953,4.80905914025923,718.781538886778,-20.0886288387677,-27.8762992459174,2.10035799656878,38.7827145492512,-27.9481702742119,0.0201416015625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.7373046875,0,0.0067138671875,0.00579833984375,0.0396728515625,-0.0006103515625
0.019,-19.230812614595,9.49799574281855,330.482195017835,-5.83333333333333,-24.55,4.7,-6.99588801225432,-26.9038514640264,81.4078696813743,-21.168728959443,20.2739917423783,-4.73371312100707,388.10457019755,-13.8333333333333,8.35,0.05,-13.2539268473221,10.8315365892671,-27.9088096894961,-34.1504013739794,1.04317912778333,4.76428262181149,718.586765215384,-20.2498148595764,-27.8272794114211,1.84673139177957,38.7250096417798,-28.180055408489,0.02197265625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,6.04248046875,0,0.00701904296875,0.00701904296875,0.0396728515625,0.00030517578125
0.02,-19.2199046306188,9.48269468092032,330.385885267217,-5.83333333333333,-24.55,4.6,-6.99401516227798,-26.9025163267877,81.427559488593,-21.1692311147651,20.2541773735528,-4.76644546576371,388.006864010972,-14.1666666666667,8.2,0.15,-13.5832537416572,10.6791113105229,-27.5229958566426,-35.0077666184613,1.03427274293403,4.71624921515661,718.392749278189,-20.5772689039352,-27.9780846799911,1.84317541007646,38.9453884495664,-28.6434807765117,0.0201416015625,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.0054931640625,0.0048828125,0.0372314453125,-0.0048828125
0.021,-19.2087381582634,9.46611267962923,330.291492701495,-5.66666666666667,-24.6,4.25,-6.82531885865328,-26.9511495505714,81.5980736595262,-20.6645312079586,20.2334604898389,-4.80044740257384,387.909180687772,-14.5,8.35,0.35,-13.912425237925,10.8265755639563,-27.9100781908809,-35.8651610494444,1.02472233157544,4.6656652770554,718.200673389267,-20.7377440965782,-27.8785823358157,1.68962174323057,38.8172600900715,-28.8745818055483,0.0238037109375,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,6.28662109375,0,0.0067138671875,0.0048828125,0.03814697265625,-0.00396728515625
0.022,-19.1975466843075,9.4487043353715,330.199825527722,-6,-24.35,4.15,-7.15652141064947,-26.6997797141592,80.8594603933782,-21.6733046397344,20.2121767203744,-4.83544242101971,387.811587342777,-14.1666666666667,8.1,0.45,-13.5748085143339,10.5739704305738,-27.2657413436895,-35.0036176261423,1.01463003606691,4.61326191435178,718.0114128705,-20.7313299249833,-27.8786086938567,1.68603406169619,38.827528635516,-28.8732596075355,0.0164794921875,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.003662109375,0.0048828125,0.03814697265625,-0.003662109375
0.023,-19.1864711943874,9.43075367149427,330.11178227409,-5.33333333333333,-24.3,4.05,-6.48765758272423,-26.648424074193,80.7254557550659,-19.6529113200133,20.1905663972423,-4.87103598278521,387.713971673469,-14,8.15,0.3,-13.4037851957071,10.6213253270225,-27.3947448454803,-34.5713236431823,1.00409520285487,4.55971768870905,717.825753947559,-19.8914427784313,-27.7779453846438,1.43243491052699,38.6973373856869,-27.7106842002279,0.0238037109375,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.92041015625,0,0.003662109375,0.0048828125,0.03753662109375,-0.0030517578125
